Date,Open,High,Low,Close,Adj Close,Volume
2020-02-24,269.880005,270.649994,264.049988,265.239990,263.069275,29300
2020-02-25,266.130005,270.070007,253.089996,255.979996,253.885010,70100
2020-02-26,240.009995,244.899994,203.479996,210.000000,208.281357,195000
2020-02-27,207.500000,210.000000,200.520004,201.020004,199.374817,87400
2020-02-28,198.580002,202.169998,190.429993,196.380005,194.772781,104800
2020-03-02,202.589996,226.000000,202.589996,221.020004,219.211136,154700
2020-03-03,224.860001,235.710007,206.000000,211.960007,210.225311,102600
2020-03-04,217.479996,221.979996,206.020004,215.990005,214.222321,95900
2020-03-05,211.750000,214.860001,202.669998,206.460007,204.770294,56100
2020-03-06,203.809998,208.699997,201.100006,206.050003,204.363663,45300
2020-03-09,200.009995,200.509995,193.500000,198.600006,196.974640,79300
2020-03-10,205.320007,218.509995,200.000000,218.139999,216.354721,102200
2020-03-11,213.710007,213.710007,199.270004,206.000000,204.314072,91700
2020-03-12,195.000000,205.000000,188.809998,203.529999,201.864273,104200
2020-03-13,210.740005,216.690002,198.399994,216.690002,214.916565,96000
2020-03-16,195.919998,214.139999,195.000000,201.050003,199.404587,62100
2020-03-17,203.610001,216.199997,199.970001,216.199997,214.430588,91900
2020-03-18,203.509995,216.169998,198.429993,206.320007,204.631454,78200
2020-03-19,204.710007,210.139999,199.990005,201.000000,199.354980,109800
2020-03-20,202.970001,212.490005,191.449997,192.570007,190.993988,99900
2020-03-23,192.300003,200.330002,188.080002,193.389999,191.807297,68300
2020-03-24,200.449997,206.800003,193.940002,203.000000,201.338593,82000
2020-03-25,208.979996,244.520004,204.250000,218.649994,216.860535,170100
2020-03-26,220.919998,238.800003,210.029999,219.949997,218.149902,125900
2020-03-27,216.479996,220.000000,201.000000,201.119995,199.473999,84000
2020-03-30,203.589996,213.500000,201.990005,207.660004,205.960495,47100
2020-03-31,207.369995,212.789993,204.300003,208.529999,206.823364,52800
2020-04-01,204.710007,206.000000,192.550003,194.089996,192.501541,86300
2020-04-02,194.770004,201.729996,193.770004,198.990005,197.361435,60100
2020-04-03,200.000000,210.240005,196.139999,207.009995,205.315781,53900
2020-04-06,213.500000,223.820007,202.009995,221.470001,219.657455,75900
2020-04-07,225.000000,230.440002,216.429993,223.000000,221.174942,73600
2020-04-08,226.589996,233.970001,220.509995,230.009995,228.127533,52900
2020-04-09,235.520004,255.500000,230.009995,253.169998,251.098007,86700
2020-04-13,250.000000,250.000000,236.000000,238.190002,236.240631,76100
2020-04-14,245.600006,249.649994,238.750000,241.970001,239.989700,52200
2020-04-15,237.000000,241.350006,234.410004,234.410004,232.491531,45000
2020-04-16,237.000000,242.639999,231.360001,236.759995,234.822327,36000
2020-04-17,242.979996,244.000000,239.059998,242.979996,240.991425,31800
2020-04-20,240.000000,240.940002,233.550003,234.899994,232.977539,41200
2020-04-21,232.139999,232.139999,222.539993,223.720001,221.889069,63200
2020-04-22,225.860001,229.660004,223.000000,227.550003,225.940186,41400
2020-04-23,228.289993,229.809998,225.089996,226.130005,224.530243,27900
2020-04-24,226.070007,229.270004,224.029999,227.850006,226.238052,29200
2020-04-27,230.979996,239.839996,229.149994,238.050003,236.365906,58900
2020-04-28,242.119995,243.000000,237.300003,237.589996,235.909149,52100
2020-04-29,243.589996,246.990005,238.490005,242.529999,240.814209,46300
2020-04-30,240.179993,244.710007,232.490005,235.470001,233.804153,41000
2020-05-01,231.559998,238.740005,227.250000,232.139999,230.497711,31500
2020-05-04,230.539993,235.259995,225.000000,232.880005,231.232483,39300
2020-05-05,235.000000,240.990005,230.759995,233.639999,231.987091,42500
2020-05-06,239.990005,243.960007,235.199997,239.889999,238.192856,51600
2020-05-07,243.490005,243.490005,230.250000,230.500000,228.869278,54200
2020-05-08,235.000000,242.710007,232.889999,240.960007,239.255310,51000
2020-05-11,241.000000,242.880005,237.000000,237.490005,235.809891,32600
2020-05-12,241.050003,241.580002,232.080002,232.080002,230.438141,38500
2020-05-13,231.720001,233.770004,227.380005,227.559998,225.950089,45700
2020-05-14,225.000000,229.570007,221.149994,229.570007,227.945892,30400
2020-05-15,228.970001,234.990005,225.279999,227.009995,225.404007,25000
2020-05-18,232.000000,239.000000,230.770004,236.750000,235.075089,33700
2020-05-19,237.580002,239.000000,232.929993,232.929993,231.282089,28900
2020-05-20,237.009995,238.500000,233.440002,238.039993,236.355972,27700
2020-05-21,238.100006,238.100006,233.610001,234.740005,233.079330,17900
2020-05-22,234.000000,237.949997,231.860001,236.589996,234.916229,19800
2020-05-26,240.000000,244.229996,237.850006,241.460007,239.751770,36100
2020-05-27,244.190002,251.509995,243.100006,250.539993,248.767548,35600
2020-05-28,254.000000,256.070007,246.919998,246.919998,245.173141,31300
2020-05-29,245.250000,248.449997,238.500000,243.429993,241.707825,40400
2020-06-01,243.000000,253.000000,243.000000,243.539993,241.817032,35600
2020-06-02,246.470001,250.000000,243.000000,243.009995,241.290817,32500
2020-06-03,246.539993,250.979996,243.000000,243.520004,241.797195,46500
2020-06-04,244.229996,245.500000,240.509995,242.449997,240.734787,41400
2020-06-05,245.850006,246.509995,241.600006,242.949997,241.231247,52300
2020-06-08,247.850006,247.850006,243.000000,243.720001,241.995804,41000
2020-06-09,243.000000,245.000000,240.759995,242.800003,241.082306,46000
2020-06-10,242.330002,245.000000,238.740005,240.000000,238.302124,34300
2020-06-11,231.550003,238.199997,220.000000,221.529999,219.962753,66100
2020-06-12,231.399994,233.979996,225.720001,231.820007,230.179962,57900
2020-06-15,226.990005,237.589996,226.910004,237.389999,235.710571,36700
2020-06-16,241.990005,244.800003,237.000000,241.380005,239.672348,46900
2020-06-17,241.779999,242.149994,239.500000,240.029999,238.331909,20000
2020-06-18,238.039993,243.830002,238.039993,243.830002,242.105011,21600
2020-06-19,245.000000,247.449997,240.270004,240.270004,238.570190,59200
2020-06-22,239.360001,241.779999,233.149994,234.910004,233.248123,29900
2020-06-23,237.809998,237.899994,233.529999,233.750000,232.096329,28100
2020-06-24,232.880005,234.000000,228.759995,230.440002,228.809723,35300
2020-06-25,228.369995,231.990005,226.979996,231.990005,230.348801,29400
2020-06-26,231.300003,232.000000,220.199997,221.270004,219.704620,50800
2020-06-29,225.130005,235.000000,224.660004,231.809998,230.170059,36300
2020-06-30,230.600006,233.000000,228.399994,229.190002,227.568573,19700
2020-07-01,230.250000,233.990005,229.000000,229.610001,227.985611,27500
2020-07-02,231.839996,233.020004,230.009995,230.009995,228.382782,25400
2020-07-06,233.110001,234.990005,231.720001,234.279999,232.622589,33400
2020-07-07,232.259995,234.449997,230.940002,231.309998,229.673584,25200
2020-07-08,232.419998,232.419998,228.000000,230.500000,228.869278,21500
2020-07-09,228.660004,228.789993,222.360001,223.000000,221.422379,36300
2020-07-10,224.610001,228.820007,223.050003,225.860001,224.262115,41300
